Voici un tableau de référence des termes et expressions associées au 6502 :
Terme 							Description
Modem (Modulator/demodulator) 	Cette expression permet d'indiquer un périphérique ajoutant ou supprimant une fréquence porteuse, permettant ainsi aux données d'être transmises sur un canal haute fréquence ou reçues d'un tel canal.
Modular programming 			Cette expression permet d'indiquer une méthode de programmation par laquelle le programme global est divisé en sections ou modules logiquement séparés.
Module 							Ce mot permet d'indiquer une partie ou une section d'un programme.
Monitor 						Ce mot permet d'indiquer un programme offrant la possibilité à l'utilisateur de l'ordinateur d'entrer des programmes et des données, d'exécuter des programmes, d'examiner le contenu de la mémoire et des registres de l'ordinateur et d'utiliser les périphériques de l'ordinateur. Voir également Système d'exploitation.
Most significant bit 			Cette expression permet d'indiquer le bit le plus à gauche dans un groupe de bits, c'est-à-dire le bit 7 d'un octet ou le bit 15 d'un mot de 16 bits.
Multifunction device 			Cette expression permet d'indiquer un périphérique exécutant plus d'une fonction dans un système informatique; le terme fait généralement référence aux périphériques contenant de la mémoire, des ports d'entrée/sortie, des minuteries,..., tels que les périphériques 6530, 6531 et 6532.
Multitasking 					Ce mot permet d'indiquer l'utilisation d'exécution de nombreuses tâches pendant une seule période, généralement en travaillant sur chacune d'entre elles pendant une partie spécifiée de la période et en suspendant les tâches devant attendre l'entrée, la sortie, l'achèvement d'autres tâches ou des événements externes.
Negate 							Ce mot permet d'indiquer l'action de trouver le complément à deux (négatif) d'un nombre.
Negative edge 					Cette expression permet d'indiquer une transition de 1 à 0 dans une impulsion binaire.
Negative flag 					Cette expression permet d'indiquer le drapeau de signe.
Negative logic 					Cette expression permet d'indiquer un circuit dans lequel un zéro logique est l'état actif ou un ON.
Nesting 						Ce mot permet d'indiquer la construction des programmes de manière hiérarchique avec un niveau contenu dans un autre, et ainsi de suite. Le niveau d'imbrication est le nombre de transferts de contrôle nécessaires pour atteindre une partie particulière d'un programme sans jamais revenir à un niveau supérieur.
Nibble 							Ce mot permet d'indiquer une unité de quatre bits. Un octet (huit bits) peut être décrit comme étant constitué d'un quartet élevé (quatre bits les plus significatifs) et d'un quartet bas (quatre bits les moins significatifs).
Nine's complement 				Cette expression permet d'indiquer le résultat de la soustraction d'un nombre décimal d'un nombre ayant 9 dans chaque position de chiffre.
Nonmaskable interrupt 			Cette expression permet d'indiquer une interruption ne pouvant pas être désactivée dans le microprocesseur.
Nonvolatile memory 				Cette expression permet d'indiquer une mémoire conservant son contenu lorsque l'alimentation est coupée.
No-op 							Cette expression permet d'indiquer une instruction ne faisant rien d'autre que d'incrémenter le compteur de programme.
Normalization 					Ce mot permet d'indiquer l'action d'ajuster un nombre dans un format régulier ou standard. Un exemple typique est la mise à l'échelle d'une fraction binaire afin que son bit le plus significatif soit 1.
Object code 					Cette expression permet d'indiquer un programme étant la sortie d'un programme de conversion, tel qu'un assembleur. Il s'agit généralement d'un programme en langage machine prêt à être exécuté.
Odd parity 						Cette expression permet d'indiquer un code de détection d'erreur de 1 bit rendant impair le nombre total de 1 bits dans une unité de données (y compris le bit de parité).
Offset 							Ce mot permet d'indiquer une distance d'un point de départ ou d'une adresse de base.
One's complement 				Cette expression permet d'indiquer un complément logique bit par bit d'un nombre, obtenu en remplaçant chaque bit par un 1 et chaque 1 bit par un 0.
One-shot 						Cette expression permet d'indiquer un dispositif produisant une sortie d'impulsion de durée connue en réponse à une entrée d'impulsion. Un chronomètre fonctionne en mode one-shot lorsqu'il indique la fin d'un intervalle unique de durée connue.
Open 							Ce mot permet d'indiquer l'action de préparer un fichier à l'utilisation. L'utilisateur doit généralement ouvrir un fichier avant de travailler avec lui.
Operating system (OS) 			Cette expression permet d'indiquer un programme informatique contrôlant les opérations globales d'un ordinateur et exécute des fonctions telles que l'affectation de places en mémoire aux programmes et aux données, la planification de l'exécution de programmes, le traitement des interruptions et le contrôle du système d'entrée/sortie global. Également connu sous le nom de programme de surveillance, de direction ou de contrôle principal, bien que le terme moniteur soit généralement réservé à un système d'exploitation simple avec des fonctions limitées.
Operation code (op code) 		Cette expression permet d'indiquer une partie d'une instruction spécifiant l'opération à effectuer.
OS 								Cette abréviation, de l'anglicisme Operating system, permet d'indiquer le système d'exploitation.
Output register 				Cette expression permet d'indiquer le port d'entrée/sortie actuel dans un PIA ou VIA. Aussi appelé registre de données ou registre périphérique.
Overflow (dans la pile) 		Ce mot permet d'indiquer un dépassement de la quantité de mémoire allouée à une pile.
Overflow (arithmétique) 		Ce mot permet d'indiquer un complément à deux. Voir Two's complement overflow.
P register 						Cette expression permet d'indiquer le registre d'état du processeur (P) et parfois le compteur de programme (PC). La plupart des références 6502 abrégent le compteur de programme en PC et le registre d'état du processeur en P, mais certains se réfèrent au compteur de programme en P et au registre d'état du processeur (drapeau) en F.
Packed decimal 					Cette expression permet d'indiquer un format décimal codé en binaire dans lequel chaque octet de 8 bits contient deux chiffres décimaux.
Page 							Ce mot permet d'indiquer une subdivision de la mémoire. Dans la terminologie 6502, une page est une section de mémoire de 256 octets dans laquelle toutes les adresses ont les mêmes 8 bits les plus significatifs (ou numéro de page). Par exemple, la page C6 comprend les adresses mémoire C600 à C6FF.
Paged address 					Cette expression permet d'indiquer l'identificateur caractérisant une adresse mémoire particulière sur une page connue. Dans la terminologie 6502, il s'agit des 8 bits les moins significatifs d'une adresse mémoire.
Page number 					Cette expression permet d'indiquer l'identificateur caractérisant une page de mémoire particulière. Dans la terminologie 6502, il s'agit des 8 bits les plus significatifs d'une adresse mémoire.
Page 0 							Cette expression permet d'indiquer, dans la terminologie 6502, les 256 adresses les plus basses en mémoire (adresses 0000 à 00FF).
Parallel interface 				Cette expression permet d'indiquer une interface entre un microprocesseur et des périphériques d'entrée ou de sortie gérant les données en parallèle (plus d'un bit à la fois).
Parameter 						Ce mot permet d'indiquer un élément devant être fourni à un sous-programme ou un programme pour qu'il soit exécuté.
Parity 							Ce mot permet d'indiquer un code de détection d'erreur de 1 bit rendant le nombre total de 1 bits dans une unité de données, y compris le bit de parité, impair (parité impaire) ou pair (parité paire). Également appelé parité verticale ou contrôle de redondance verticale (VRC).
Passing parameters 				Cette expression permet d'indiquer l'action de rendre les paramètres requis disponibles pour un sous-programme.
Peripheral Interface 			Cette expression permet d'indiquer une des versions de la famille 6500 d'une interface parallèle; des exemples sont les périphériques 6520, 6522, 6530 et 6532.
Peripheral ready 				Cette expression permet d'indiquer un signal étant actif lorsqu'un périphérique peut accepter plus de données.
Peripheral register 			Cette expression permet d'indiquer le port d'entrée ou de sortie actuel dans un PIA ou VIA. Aussi appelé registre de données ou registre de sortie.
Physical device 				Cette expression permet d'indiquer un périphérique d'entrée ou de sortie actuel, par opposition à un périphérique logique.
PIA 							Cette abréviation, provenant de l'anglicisme Peripheral Interface Adapter, permet d'indiquer un nom commun du périphérique 6520 ou 6820 se composant de deux ports d'entrée/sortie bidirectionnels en 8 bits, de deux lignes d'état et de deux lignes d'état ou de contrôle bidirectionnelles. Le 6821 est un périphérique similaire.
Pointer 						Ce mot permet d'indiquer un lieu d'entreposage contenant l'adresse d'un élément de données plutôt que l'élément lui-même. Un pointeur indique où se trouve l'élément.
Polling 						Ce mot permet d'indiquer l'action de déterminer quels périphériques d'entrée/sortie sont prêts en examinant l'état d'un périphérique un à la fois.
Polling interrupt system 		Cette expression permet d'indiquer un système d'interruption dans lequel un programme détermine la source d'une interruption particulière en examinant l'état des sources potentielles une à la fois.
Pop 							Ce mot permet d'indiquer l'action de supprime un opérande d'une pile.
Port 							Ce mot permet d'indiquer l'unité adressable de base de la section d'entrée/sortie de l'ordinateur.
Positive edge 					Ce mot permet d'indiquer une transition de 0 à 1 dans une impulsion binaire.
Postdecrementing 				Ce mot permet d'indiquer la décrémentation d'un registre d'adresses après son utilisation.
Postincrementing 				Ce mot permet d'indiquer l'incrémentation un registre d'adresses après son utilisation.
Postindexing 					Ce mot permet d'indiquer l'adressage indexé indirect.
Power fail interrupt 			Cette expression permet d'indiquer une interruption informant le microprocesseur d'une perte d'alimentation imminente.
Predecrementing 				Ce mot permet d'indiquer une décrémentation d'un registre d'adresses avant de l'utiliser.
Preincrementing 				Ce mot permet d'indiquer une incrémentation d'un registre d'adresses avant de l'utiliser.
Preindexing 					Ce mot permet d'indiquer l'adressage indirect indexé.
Priority interrupt system 		Cette expression permet d'indiquer un système d'interruption dans lequel certaines interruptions ont priorité sur d'autres, c'est-à-dire qu'elles seront traitées en premier ou qu'elles interrompront les routines de service des autres.
Processor status (P or F) register 	Cette expression permet d'indiquer un registre définissant l'état actuel d'un ordinateur, contenant souvent divers bits indiquant les conditions internes. Les autres noms de ce registre incluent le registre de code de condition, le registre de drapeau (F), le registre d'état et le mot d'état.
Program counter (PC or P register) 	Cette expression permet d'indiquer un registre contenant l'adresse de la prochaine instruction à extraire de la mémoire.
Programmable I/O device 		Cette expression permet d'indiquer un périphérique d'entrée/sortie dont le mode de fonctionnement peut être déterminé par le chargement de registres sous le contrôle du programme.
Programmable peripheral chip 	Cette expression permet d'indiquer une puce pouvant fonctionner dans une variété de modes; son mode de fonctionnement actuel est déterminé par le chargement des registres de commande sous le contrôle du programme.
Programmable timer 				Cette expression permet d'indiquer une périphérique pouvant gérer une variété de tâches de synchronisation, y compris la génération de retards, sous le contrôle du programme.
Program relative addressing 	Cette expression permet d'indiquer un format d'adressage relatif dans laquelle l'adresse de base est le compteur de programme. L'utilisation de cette format d'adressage permet de déplacer facilement des programmes d'un endroit de la mémoire à un autre.
Programmed input/output 		Cette expression permet d'indiquer une entrée ou sortie exécutée sous le contrôle du programme sans utiliser d'interruptions ou d'autres techniques matérielles spéciales.
Protocol 						Ce mot permet d'indiquer un contrôle de liaison de données.
Pseudo-operation ou pseudo-op ou pseudo-instruction 	Cette expression permet d'indiquer un code d'opération en langage assembleur demandant à l'assembleur d'effectuer une action mais n'entraînant pas la génération d'une instruction en langage machine.
Pull 							Ce mot permet d'indiquer l'action de supprimer un opérande d'une pile, comme pop.
Push 							Ce mot permet d'indiquer l'action d'entreposer un opérande dans une pile.
Queue 							Ce mot permet d'indiquer un ensemble de tâches, d'adresses d'entreposage ou d'autres éléments étant utilisés selon le principe du premier entré, premier sorti; autrement dit, le premier élément entré dans la file d'attente est le premier à être supprimé.
Queue header 					Cette expression permet d'indiquer un ensemble d'emplacements d'entreposage décrivant l'emplacement actuel et l'état d'une file d'attente.
RAM 							Cette abréviation, provenant de l'anglicisme Random-access memory, permet d'indiquer la mémoire à accès aléatoire.
Random-access memory 			Cette expression permet d'indiquer une mémoire pouvant être à la fois lue et modifiée (écrite) en fonctionnement normal.
Read-only memory (ROM) 			Cette expression permet d'indiquer une mémoire pouvant être lue mais non modifiée en fonctionnement normal.
Ready for data 					Cette expression permet d'indiquer un signal étant actif lorsque le récepteur peut accepter plus de données.
Real-time 						Cette expression permet d'indiquer en synchronisation avec l'occurrence actuel des événements.
Real-time clock 				Cette expression permet d'indiquer un périphérique interrompant un microprocesseur à intervalles de temps réguliers.
Real-time operating system 		Cette expression permet d'indiquer un système d'exploitation pouvant agir en tant que superviseur des programmes ayant des exigences en temps réel. Peut également être appelé un cadre en temps réel ou un moniteur en temps réel.
Reentrant 						Ce mot permet d'indiquer un programme ou sous-programme pouvant être exécuté simultanément pendant que le même sous-programme est interrompu ou mis en suspens.
Register 						Ce mot permet d'indiquer un emplacement d'entreposage à l'intérieur du microprocesseur.
Relative addressing 			Cette expression permet d'indiquer un mode d'adressage dans lequel l'adresse spécifiée dans l'instruction est le déplacement par rapport à une adresse de base.
Relative offset 				Cette expression permet d'indiquer la différence entre l'adresse réelle à utiliser dans une instruction et la valeur actuelle du compteur de programme.
Relocatable 					Ce mot permet d'indiquer du code pouvant être placé n'importe où dans la mémoire sans changements; c'est-à-dire un programme pouvant occuper n'importe quel ensemble d'adresses mémoire consécutives.
Return 							Ce mot permet d'indiquer l'action de renvoyer le contrôle au programme ayant initialement appelé le sous-programme et reprenant son exécution.
RIOT 							Cette abréviation, provenant de l'anglicisme ROM/I/O/timer ou RAM/I/O/timer, permet d'indiquer un périphérique contenant de la mémoire (ROM ou RAM), des ports d'entrée/sortie et des minuteries.
ROM 							Cette abréviation, provenant de l'anglicisme Read-only memory, permet d'indiquer la mémoire en lecture seulement.
Rotate 							Ce mot permet d'indiquer une opération de décalage traitant les données comme si elles étaient disposées en cercle, c'est-à-dire comme si les bits les plus significatifs et les moins significatifs étaient connectés directement ou via un bit de retenue.
Row major order 				Cette expression permet d'indiquer l'entreposage des éléments d'un tableau multidimensionnel dans une mémoire linéaire en modifiant les index en commençant par l'extrême droite en premier. Autrement dit, si les éléments sont A(I, J, K) et commencent par A(0,0,0), l'ordre est A(0,0,0), A(0,0,1), ..., A(0,1,0), A((0,1,1),... La technique inverse (changer l'index le plus à gauche en premier) est appelée ordre majeur des colonnes.
RRIOT 							Cette abréviation, provenant de l'anglicisme ROM/RAM/I/O/timer, permet d'indiquer un périphérique contenant une mémoire en lecture seulement, une mémoire en lecture/écriture, des ports d'entrée/sortie et des minuteries.
RS-232 							Cette expression permet d'indiquer une interface standard pour la transmission de données numériques en série, parrainée par l'Electronic Industries Association of Washington, D.C. Elle a été partiellement remplacée par RS-449.
Scheduler 						Ce mot permet d'indiquer un programme déterminant quand d'autres programmes doivent être démarrés et arrêtés.
Scratchpad 						Ce mot permet d'indiquer une zone de mémoire particulièrement simple et rapide à utiliser pour entreposer des données variables ou des résultats intermédiaires. La page est généralement utilisée comme bloc-notes dans les micro-ordinateurs 6502.
SDLC 							Cette abréviation, provenant de l'anglicisme Synchronous Data Link Control, permet d'indiquer le protocole successeur de BSC pour les ordinateurs et terminaux de l'entreprise IBM.
Semaphore 						Ce mot permet d'indiquer un drapeau.
Serial 							Ce mot permet d'indiquer un bit à la fois.
Serial interface 				Cette expression permet d'indiquer une interface entre un microprocesseur et des périphériques d'entrée ou de sortie qui traitent les données en série. Les interfaces série couramment utilisées dans les ordinateurs basés sur 6502 sont les périphériques 6551 et 6850. Voir également UART.
Shift instruction 				Cette expression permet d'indiquer une instruction déplaçant tous les bits des données d'un certain nombre de positions de bits, comme dans un registre à décalage.
Signed number 					Cette expression permet d'indiquer un nombre dans lequel un ou plusieurs bits représentent si le nombre est positif ou négatif. Un format courant est que le bit le plus significatif représente le signe (0 = positif, 1 = négatif).
Sign extension 					Cette expression permet d'indiquer le processus de copie du bit de signe (le plus significatif) vers la droite comme dans un décalage arithmétique. L'extension de signe préserve le signe lorsque les nombres complémentaires à deux sont divisés ou normalisés.
Sign flag 						Cette expression permet d'indiquer le drapeau contenant le bit le plus significatif du résultat de l'opération précédente. Il est parfois appelé drapeau négatif, car une valeur de 1 indique un nombre signé négatif.
Sign function 					Cette expression permet d'indiquer qu'une fonction est 0 si son paramètre est positif et 1 si son paramètre est négatif.
Software delay 					Cette expression permet d'indiquer un programme n'ayant d'autre fonction que de perdre du temps.
Software interrupt 				Cette expression permet d'indiquer une interruption logiciel. Synonyme de Trap.
Software stack 					Cette expression permet d'indiquer une pile étant gérée au moyen d'instructions spécifiques, par opposition à une pile matérielle que l'ordinateur gère automatiquement.
Source code 					Cette expression permet d'indiquer le code source d'un programme informatique écrit en langage d'assemblage ou dans un langage de haut niveau.
Source program 					Cette expression permet d'indiquer un programme informatique écrit en langage d'assemblage ou dans un langage de haut niveau.
Space 							Ce mot permet d'indiquer l'état zéro sur une ligne de communication de données série.
Stack 							Ce mot permet d'indiquer une section de mémoire accessible uniquement selon le mode dernier entré, premier sorti. Autrement dit, les données peuvent être ajoutées ou supprimées de la pile uniquement par son sommet; les nouvelles données sont placées au-dessus des anciennes données et la suppression d'un élément de données fait de l'élément situé en dessous le nouveau sommet.
Stack pointer 					Cette expression permet d'indiquer un registre contenant l'adresse du haut d'une pile. Le pointeur de pile contient l'adresse sur la page 1 du prochain emplacement de pile disponible (vide).
Standard (ou 8,4,2,1) BCD 		Cette expression permet d'indiquer une représentation BCD dans laquelle les positions des bits ont les mêmes poids que dans les nombres binaires ordinaires.
Standard teletypewriter 		Cette expression permet d'indiquer un téléimprimeur fonctionnant de manière désynchronisé à une vitesse de dix caractères par seconde.
Start bit 						Cette expression permet d'indiquer un signal de 1 bit correspondant au début de la transmission de données par un périphérique désynchronisé.
Static allocation 				Cette expression permet d'indiquer un affectation de zones d'entreposage fixes pour les données et les programmes, par opposition à l'allocation dynamique dans laquelle les zones d'entreposage sont attribuées au moment où elles sont nécessaires.
Status register 				Cette expression permet d'indiquer un registre dont le contenu indique l'état actuel ou le mode de fonctionnement d'un périphérique. Voir également Processor status register (P).
Status signal 					Cette expression permet d'indiquer un signal décrivant l'état actuel d'un transfert ou le mode de fonctionnement d'un périphérique.
Stop bit 						Cette expression permet d'indiquer un signal à 1 bit correspondant à la fin de la transmission de données par un périphérique désynchronisé.
String 							Ce mot permet d'indiquer un tableau (ensemble de données) composé de caractères.
String functions 				Cette expression permet d'indiquer des procédures offrant la possibilité au programmeur d'opérer sur des données constituées de caractères plutôt que de nombres. Les fonctions typiques sont l'insertion, la suppression, la concaténation, la recherche et le remplacement.
Strobe 							Ce mot permet d'indiquer un signal identifiant ou décrivant un autre ensemble de signaux et pouvant être utilisé pour contrôler un tampon, un verrou ou un registre.
Subroutine 						Ce mot permet d'indiquer un sous-programme pouvant être exécuté (appelé) à partir de plusieurs emplacements dans un programme principal.
Subroutine call 				Cette expression permet d'indiquer des processus par lequel un ordinateur transfère le contrôle de son programme en cours à un sous-programme tout en conservant les informations nécessaires pour reprendre le programme en cours.
Subroutine linkage 				Cette expression permet d'indiquer le mécanisme par lequel un ordinateur conserve les informations nécessaires pour reprendre son programme en cours après avoir terminé l'exécution d'un sous-programme.
Suspend 						Ce mot permet d'indiquer un arrête d'exécution et préserve l'état de la tâche jusqu'à une date ultérieure.
Synchronization 				Ce mot permet d'indiquer un caractère utilisé uniquement pour synchroniser l'émetteur et le récepteur.
Synchronous 					Ce mot permet d'indiquer une opération selon une source de synchronisation globale ou une horloge, c'est-à-dire à intervalles réguliers.
Systems software 				Cette expression permet d'indiquer les programmes exécutant des fonctions administratives ou aident au développement d'autres programmes mais n'effectuent en fait aucune des charges de travail ultimes de l'ordinateur.
Tail 							Ce mot permet d'indiquer l'emplacement de l'élément le plus ancien de la file d'attente, c'est-à-dire la première entrée.
Task 							Ce mot permet d'indiquer un programme autonome pouvant faire partie d'un système global sous le contrôle d'un superviseur.
Task status 					Cette expression permet d'indiquer un ensemble de paramètres spécifiant l'état actuel d'une tâche. Une tâche peut être suspendue et reprise tant que son état est enregistré et restauré.
Teletypewriter 					Ce mot permet d'indiquer un périphérique contenant un clavier et une imprimante série étant souvent utilisé dans les communications et avec les ordinateurs. Également appelé Teletype (une marque déposée de Teletype Corporation of Skokie, Illinois) ou TTY.
Ten's complement 				Cette expression permet d'indiquer le résultat de la soustraction d'un nombre décimal de zéro (en ignorant le signe négatif), le complément de neuf plus un.
Terminator 						Ce mot permet d'indiquer un élément de données n'ayant d'autre fonction que de signifier la fin d'un tableau.
Threaded code 					Cette expression permet d'indiquer un programme composé de sous-programmes, dont chacun transfère automatiquement le contrôle au suivant une fois terminé.
Timeout 						Ce mot permet d'indiquer une période pendant laquelle aucune activité n'est autorisée à se poursuivre, une période d'inactivité.
Top of the stack 				Cette expression permet d'indiquer l'adresse contenant l'élément le plus récemment entré dans la pile.
Trace 							Ce mot permet d'indiquer une aide au débogage fournissant des informations sur un programme pendant que le programme est en cours d'exécution. La trace affiche généralement tout ou partie des résultats intermédiaires.
Trailing edge 					Cette expression permet d'indiquer le front masquant la fin d'une impulsion.
Translate instruction 			Cette expression permet d'indiquer une instruction convertissant son opérande en entrée correspondante dans une table.
Transparent routine 			Cette expression permet d'indiquer une routine fonctionnant sans interférer avec les opérations d'autres routines.
Trap 							Ce mot permet d'indiquer une instruction forçant un saut vers une adresse spécifique (dépendante du processeur), souvent utilisée pour produire des points d'arrêt ou pour indiquer des erreurs matérielles ou logicielles.
True borrow 					Cette expression permet d'indiquer une retenue. Voir Borrow.
Two's complement 				Cette expression permet d'indiquer un nombre binaire qui, lorsqu'il est ajouté au nombre d'origine dans un additionneur binaire, produit un résultat nul. Le complément à deux d'un nombre peut être obtenu en soustrayant le nombre de zéro ou en ajoutant 1 au complément à un.
Two 's complement overflow 		Cette expression permet d'indiquer une situation dans laquelle une opération arithmétique signée produit un résultat ne pouvant pas être représenté correctement - c'est-à-dire que la grandeur déborde dans le bit de signe.
UART 							Cette abréviation, provenant de l'anglicisme Universal Asynchronous Receiver/Transmitter, permet d'indiquer un périphérique LSI agissant comme une interface entre les systèmes traitant les données en parallèle et les périphériques gérant les données sous format de série désynchronisé.
Underflow 						Ce mot permet d'indiquer une tentative de suppression de plus de données d'une pile qu'il n'y a été entré.
Unsigned number 				Cette expression permet d'indiquer un nombre dans lequel tous les bits sont utilisés pour représenter la grandeur.
Utility 						Ce mot permet d'indiquer un programme à usage général, généralement fourni par le fabricant de l'ordinateur ou une partie d'un système d'exploitation, exécutant une opération standard ou courante telle que le tri, la conversion de données d'un format à un autre ou la copie d'un fichier.
Valid data 						Cette expression permet d'indiquer un signal étant actif lorsque de nouvelles données sont disponibles pour le récepteur.
Vectored interrupt 				Cette expression permet d'indiquer une interruption produisant un code d'identification (ou un vecteur) que la microprocesseur peut utiliser pour transférer le contrôle au sous-programme de service approprié. Le processus par lequel le contrôle est transféré à la routine de service est appelé vectorisation.
Versatile Interface Adapter (VIA) 	Cette expression permet d'indiquer le nom communément donné au périphérique d'interface parallèle 6522; il se compose de deux ports d'entrée/sortie bidirectionnels de 8 bits, de quatre lignes d'état et de contrôle, de deux temporisateurs 16 bits et d'un registre à décalage.
VIA 							Cette abréviation, provenant de l'anglicisme Versatile Interface Adapter, permet d'indiquer un adaptateur d'interface polyvalent.
Volatile memory 				Cette expression permet d'indiquer une mémoire perdant son contenu lorsque l'alimentation est coupée.
Walking bit test 				Cette expression permet d'indiquer une procédure par laquelle un seul bit de 1 est déplacé à travers chaque position de bit dans une zone de mémoire et un contrôle est effectué pour savoir s'il peut être lu correctement.
Word 							Ce mot permet d'indiquer le regroupement de base de bits qu'un ordinateur peut traiter en même temps. Lorsqu'il s'agit de microprocesseurs, le terme fait souvent référence à une unité de données de 16 bits.
Word boundary 					Cette expression permet d'indiquer une limite entre des unités d'entreposage 16 bits contenant deux octets d'informations. Si les informations sont entreposées en unités de longueur de mot, seules les paires d'octets conformes (alignées avec) aux limites de mots contiennent des informations valides. Les paires d'octets mal alignées contiennent un octet d'un mot et un octet d'un autre.
Word-length 					Cette expression permet d'indiquer une longueur de 16 bits par élément.
Wraparound 						Ce mot permet d'indiquer l'organisation de manière circulaire comme si les extrémités étaient connectées. Une zone d'entreposage présente un bouclage si les opérations sur celle-ci agissent comme si les emplacements de limite étaient contigus.
Write-only register 			Cette expression permet d'indiquer un registre que le microprocesseur peut modifier mais ne peut pas lire. Si un programme doit déterminer le contenu d'un tel registre, il doit sauvegarder une copie des données y étant placées.
Zero flag 						Cette expression permet d'indiquer un drapeau valant 1 si la dernière opération a produit un résultat de zéro et si ce n'est pas le cas.
Zero page 						Cette expression permet d'indiquer, dans la terminologie 6502, les 256 adresses mémoire les plus basses (adresses de 0000 à 00FF).
Zero page addressing 			Cette expression permet d'indiquer, dans la terminologie 6502, une forme d'adressage direct dans laquelle l'instruction ne contient qu'une adresse de 8 bits à la page 0. Autrement dit, zéro est implicite comme l'octet le plus significatif de l'adresse directe et n'a pas besoin d'être inclus spécifiquement dans l'instruction.
Zero-page indexed addressing 	Cette expression permet d'indiquer un format d'adressage indexé dans lequel l'instruction contient une adresse de base à la page 0. Autrement dit, zéro est implicite comme l'octet le plus significatif de l'adresse de base et n'a pas besoin d'être inclus explicitement dans l'instruction.
Zoned decimal 					Cette expression permet d'indiquer un format décimal codé en binaire dans lequel chaque octet de 8 bits ne contient qu'un seul chiffre décimal.
